page,name,unit,discount_percent,prices,current_price,original_price,raw_line,validity,category
56,ppprrroooddduuukkkccciiiuuu,,,['111000000'],111000000,,"ppprrroooddduuukkkccciiiuuu 111000000 %%% ooovvvčččeeejjj bbbrrryyynnndddzzzeee,,, kkktttooorrrúúú pod",14. 5. 2026 - 20. 5. 2026,Ostatné
57,vo vybraných maloobchodných reťazcoch v marci,,,['2026.'],2026.,,vo vybraných maloobchodných reťazcoch v marci 2026.,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PONUKA TÝŽDŇA,,,['10'],10,,PONUKA       TÝŽDŇA                           10,14. 5. 2026 - 20. 5. 2026,Ostatné
60,priemer:,,,['19'],19,,priemer: 19 mm,14. 5. 2026 - 20. 5. 2026,Ostatné
60,prevádzkový tlak:,,,['6'],6,,prevádzkový tlak: 6 bar,14. 5. 2026 - 20. 5. 2026,Ostatné
60,dĹžka:,,,['50'],50,,dĹžka: 50 m,14. 5. 2026 - 20. 5. 2026,Ostatné
60,na moridlo,1 kus,,['1'],1,,na moridlo              1 kus,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PARKSIDE ® -,,-33%,"['33', '33']",33,33,PARKSIDE ®   -33%                              -33%,14. 5. 2026 - 20. 5. 2026,Ostatné
60,HVLP PFS,,,"['450', '1']",1,450,HVLP PFS 450 B1,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PHLGB,,,"['2000', '1', '14,99', '3', '29,99']","29,99",2000,"PHLGB 2000 A1 14,99            3 nastaviteľné tvary lúča 29,99",14. 5. 2026 - 20. 5. 2026,Ostatné
60,teplota:,"1,2 l",,"['350', '550', '9,99', '1,2', '19,99']","19,99",350,"teplota: 350 - 550 °C 9,99     objem nádoby na farbu: 1,2 l 19,99",14. 5. 2026 - 20. 5. 2026,Ostatné
60,príkon:,,,"['2000', '450']",450,2000,príkon: 2000 W                 príkon: 450 W,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PARKSIDE ® -,,-20%,['20'],20,,PARKSIDE ® -20%,14. 5. 2026 - 20. 5. 2026,Ostatné
60,ideálne na práce,,,"['4,99']","4,99",,"ideálne na práce 4,99",14. 5. 2026 - 20. 5. 2026,Ostatné
60,PETPS,,,"['400', '2']",2,400,PETPS 400 B2,14. 5. 2026 - 20. 5. 2026,Ostatné
60,"v dielni, dome",,,"['3,99', '3']",3,"3,99","v dielni, dome 3,99                                         3",14. 5. 2026 - 20. 5. 2026,Ostatné
60,a záhrade alebo PETPK,,,"['400', '2']",2,400,a záhrade                 alebo PETPK 400 B2,14. 5. 2026 - 20. 5. 2026,Ostatné
60,hĹbka ponoru:,,,['7'],7,,hĹbka ponoru: 7 m,14. 5. 2026 - 20. 5. 2026,Ostatné
60,príkon:,,,['400'],400,,príkon: 400 W,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PHD,35 l,,"['170', '2', '35']",35,170,PHD 170 D2                         na vodu: 35 l,14. 5. 2026 - 20. 5. 2026,Ostatné
60,PARKSIDE ®,,,['3'],3,,PARKSIDE ®                                    3,14. 5. 2026 - 20. 5. 2026,Ostatné
60,"ideálny na terasy, autá a fasády",1 kus,,['1'],1,,"ideálny na terasy, autá a fasády   1 kus",14. 5. 2026 - 20. 5. 2026,Mliečne výrobky / Syry
60,senzorom,500 l,,['500'],500,,senzorom                  500 l / hod.,14. 5. 2026 - 20. 5. 2026,Ostatné
60,dosah snímania: max. tlak:,,,"['17', '99,99']","99,99",17,"dosah snímania:           max. tlak: 17 MPa                  99,99",14. 5. 2026 - 20. 5. 2026,Ostatné
60,svetelný tok:,600 l,,"['600', '14,99']","14,99",600,"svetelný tok: 600 lm 14,99 vrátane príslušenstva",14. 5. 2026 - 20. 5. 2026,Ostatné
60,UŠETRÍTE,,,,"14,99","2,","UŠETRÍTE
2,-
BEŽNÁ CENA
14,99",14. 5. 2026 - 20. 5. 2026,Ostatné
61,PAT,,,"['20', '1', '20', '20', '1']",1,20,PAT 20-Li A1                   20 V PAKT 20-Li A1,14. 5. 2026 - 20. 5. 2026,Ostatné
61,dĹžky:,,,"['15', '32', '11,1']","11,1",15,"dĹžky: 15 - 32 mm              tlak: 11,1 bar",14. 5. 2026 - 20. 5. 2026,Ostatné
61,max. počet úderov:,1 kus,,['1'],1,,max. počet úderov:             1 kus,14. 5. 2026 - 20. 5. 2026,Ostatné
61,PAFR,,,"['20', '1']",1,20,PAFR 20-Li A1,14. 5. 2026 - 20. 5. 2026,Ostatné
61,PSTDA,,,"['20', '3', '25']",25,20,PSTDA 20-Li C3                                                      25 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
61,na kladenie a zapracovanie,,,"['39,99']","39,99",,"na kladenie a zapracovanie 39,99     nastaviteľná dĹžka:",14. 5. 2026 - 20. 5. 2026,Ostatné
61,veľkoformátových dlaždíc,,,"['29,99']","29,99",,"veľkoformátových dlaždíc 29,99",14. 5. 2026 - 20. 5. 2026,Ostatné
61,max. prídržná sila:,70 kg,,"['35', '70']",70,35,max. prídržná sila: 35 – 70 kg,14. 5. 2026 - 20. 5. 2026,Ostatné
61,PABS,,,"['20', '8']",8,20,PABS 20-Li G8,14. 5. 2026 - 20. 5. 2026,Ostatné
61,Aku uhlová brúska PWSA,,,"['20', '4']",4,20,Aku uhlová brúska PWSA 20-Li G4,14. 5. 2026 - 20. 5. 2026,Ostatné
61,príslušenstva na bežné brúsne kotúče do Ø,,,['125'],125,,príslušenstva             na bežné brúsne kotúče do Ø 125 mm,14. 5. 2026 - 20. 5. 2026,Ostatné
61,betónu alebo dlaždíc na trávnik PGSA,,,"['4', '3']",3,4,betónu alebo dlaždíc       na trávnik PGSA 4 B3,14. 5. 2026 - 20. 5. 2026,Ostatné
61,akumulátor:,,,"['4', '2']",2,4,akumulátor: 4 V Li-Ion (2 Ah),14. 5. 2026 - 20. 5. 2026,Ostatné
61,"nôž na živý plot, šírka:",,,['12'],12,,"nôž na živý plot, šírka: 12 cm",14. 5. 2026 - 20. 5. 2026,Ostatné
61,PEMH,,,"['2400', '2']",2,2400,PEMH 2400 B2,14. 5. 2026 - 20. 5. 2026,Ostatné
61,a kríkov s hrúbkou kapacita:,,,"['2,0']","2,0",,"a kríkov s hrúbkou                        kapacita: 2,0 Ah",14. 5. 2026 - 20. 5. 2026,Ostatné
61,PARKSIDE ® -,,-33%,"['33', '40', '14,99']","14,99",33,"PARKSIDE ®      -33%      do max. 40 mm                              14,99",14. 5. 2026 - 20. 5. 2026,Ostatné
61,Aku ventilátor objem vaku:,45 l,,['45'],45,,Aku ventilátor            objem vaku: 45 l,14. 5. 2026 - 20. 5. 2026,Ostatné
61,bez akumulátora a nabíjačky,,,"['29,99', '4,0']","4,0","29,99","bez akumulátora a nabíjačky 29,99                                   kapacita: 4,0 Ah",14. 5. 2026 - 20. 5. 2026,Ostatné
61,s praktickým držadlom menovité napätie:,,,['20'],20,,s praktickým držadlom                                  menovité napätie: 20 V,14. 5. 2026 - 20. 5. 2026,Ostatné
62,PARKSIDE ®,,,['61'],61,,PARKSIDE ®                        61,14. 5. 2026 - 20. 5. 2026,Ostatné
62,prstencové kľúče,,,['32'],32,,prstencové kľúče                                         32,14. 5. 2026 - 20. 5. 2026,Ostatné
62,alebo strojové čistenie,,,"['19,99']","19,99",,"alebo strojové čistenie 19,99",14. 5. 2026 - 20. 5. 2026,Ostatné
62,roky priemer:,,,"['6,3', '14,99']","14,99","6,3","roky                                        priemer: 6,3 mm   14,99",14. 5. 2026 - 20. 5. 2026,Ostatné
62,záruka dĹžka:,,,['8'],8,,záruka                                       dĹžka: 8 m,14. 5. 2026 - 20. 5. 2026,Ostatné
62,PISG,,,"['120', '5', '2.8', '4']",4,120,PISG 120 D5                 PKI 2.8 C4,14. 5. 2026 - 20. 5. 2026,Ostatné
62,"tyčové elektródy vedení, odtokov PWS",,,"['230', '5']",5,230,"tyčové elektródy            vedení, odtokov        PWS 230 E5",14. 5. 2026 - 20. 5. 2026,Ostatné
62,UŠETRÍTE -,,-28%,['28'],28,,UŠETRÍTE                                              -28%,14. 5. 2026 - 20. 5. 2026,Ostatné
62,zvárací prúd:,,,"['10', '120', '5,']","5,",10,"zvárací prúd: 10 - 120 A 5,- a iných ťažko         na rezanie kovu, dlaždíc, muriva,",14. 5. 2026 - 20. 5. 2026,Ostatné
62,odporúčaná hrúbka prístupných miest,,,"['39,99']","39,99",,"odporúčaná hrúbka           prístupných miest 39,99 na bežné rezné kotúče",14. 5. 2026 - 20. 5. 2026,Ostatné
62,materiálu:,,,"['1,5', '3', '29,99', '230']",230,"1,5","materiálu: 1,5 - 3 mm BEŽNÁ CENA funkcia záznamu 29,99 do Ø 230 mm",14. 5. 2026 - 20. 5. 2026,Ostatné
62,príkon:,,,"['3300', '64,99', '14', '69,99']","69,99",3300,"príkon: 3300 W   64,99      obrázkov               závit hriadeľa: M14 69,99",14. 5. 2026 - 20. 5. 2026,Ostatné
62,príkon:,,,['2000'],2000,,príkon: 2000 W,14. 5. 2026 - 20. 5. 2026,Ostatné
62,zoskrutkovanie PLLM,,,"['10', '1']",1,10,zoskrutkovanie           PLLM 10 A1,14. 5. 2026 - 20. 5. 2026,Ostatné
62,PUG,,,"['1550', '49,99', '9,99', '1,5', '24,99']","24,99",1550,"PUG 1550 A    49,99        predĹženia    9,99       dĹžka: 1,5 m 24,99",14. 5. 2026 - 20. 5. 2026,Ostatné
62,výška podstavca:,,,"['78', '39,99', '3', '4', '7,99', '19,99']","19,99",78,"výška podstavca: 78 cm 39,99 pomocou 3/4“ rúrky 7,99 pracovný rozsah 19,99",14. 5. 2026 - 20. 5. 2026,Ostatné
62,max. nosnosť:,150 kg,,"['150', '2']",2,150,max. nosnosť: 150 kg       s vonkajším závitom      lasera: 2 m,14. 5. 2026 - 20. 5. 2026,Ostatné
62,UŠETRÍTE,,,,"64,99","5,","UŠETRÍTE
5,-
BEŽNÁ CENA
64,99",14. 5. 2026 - 20. 5. 2026,Ostatné
63,na dlaždice,1 kus,,"['1', '3']",3,1,na dlaždice                         1 kus     3 kusy,14. 5. 2026 - 20. 5. 2026,Mliečne výrobky / Syry
63,Lepiaca páska,,,"['2,99', '3,99']","3,99","2,99","Lepiaca páska 2,99     3,99",14. 5. 2026 - 20. 5. 2026,Ostatné
63,max. otáčky:,,,"['11', '000', '14,99']","14,99",11,"max. otáčky: 11 000 / min. 14,99",14. 5. 2026 - 20. 5. 2026,Ostatné
63,¼“ šesťhranné upnutie,,,"['11,99', '15', '50']",50,"11,99","¼“ šesťhranné upnutie 11,99 dĹžka: 15 m - 50 m",14. 5. 2026 - 20. 5. 2026,Ostatné
63,alebo M,1 kus,,"['14', '1', '1']",1,14,alebo M14                 1 kus / 1 balenie,14. 5. 2026 - 20. 5. 2026,Ostatné
63,Súprava vrtákov,,-28%,"['3,99', '28', '33']",33,"3,99","Súprava vrtákov 3,99                      -28%                       -33%",14. 5. 2026 - 20. 5. 2026,Ostatné
63,LED svietidlo,,,"['4,99', '9,99']","9,99","4,99","LED svietidlo 4,99           Kliešte     9,99",14. 5. 2026 - 20. 5. 2026,Ostatné
63,UŠETRÍTE -,,-25%,"['25', '25']",25,25,UŠETRÍTE                 -25%                       -25%,14. 5. 2026 - 20. 5. 2026,Ostatné
63,na upnutie a fixáciu obrobkov,,,"['6,99']","6,99",,"na upnutie a fixáciu obrobkov 6,99 PARKSIDE ®          PARKSIDE ®",14. 5. 2026 - 20. 5. 2026,Ostatné
63,UŠETRÍTE,,,,"6,99","1,","UŠETRÍTE
1,-
BEŽNÁ CENA
6,99",14. 5. 2026 - 20. 5. 2026,Ostatné
63,UŠETRÍTE,,,,"7,99","1,","UŠETRÍTE
1,-
BEŽNÁ CENA
7,99",14. 5. 2026 - 20. 5. 2026,Ostatné
64,v ponuke priemer:,,,['20'],20,,v ponuke                priemer: 20 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
64,aj iné -,,-33%,['33'],33,,aj iné                  -33%         SPICE&SOUL,14. 5. 2026 - 20. 5. 2026,Ostatné
64,PLYN,,,"['9,99']","9,99",,"PLYN                                9,99",14. 5. 2026 - 20. 5. 2026,Ostatné
64,SPICE&SOUL materiál: sklo,,,"['7,49']","7,49",,"SPICE&SOUL                   materiál: sklo 7,49",14. 5. 2026 - 20. 5. 2026,Ostatné
64,INDUKCIA SKLOKERAMIKA priemer:,1 bal,,"['24', '1']",1,24,INDUKCIA SKLOKERAMIKA priemer: 24 cm Hrniec s pokrievkou 1 balenie,14. 5. 2026 - 20. 5. 2026,Ostatné
64,Panvica,,,"['7,49']","7,49",,"Panvica          7,49",14. 5. 2026 - 20. 5. 2026,Ostatné
64,vrátane škrabky,,,"['17,99']","17,99",,"vrátane škrabky 17,99",14. 5. 2026 - 20. 5. 2026,Ostatné
64,príkon:,,,"['600', '67', '150']",150,600,príkon: 600 W              rozmery: 67 x 150 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
64,AŽ DO -,,,['50'],50,,AŽ    DO    -50    %,14. 5. 2026 - 20. 5. 2026,Ostatné
65,priemer:,,,"['8', '14', '20']",20,8,"priemer: 8 cm, 14 cm a 20 cm",14. 5. 2026 - 20. 5. 2026,Ostatné
65,rozmery: Ø,,,"['4', '18']",18,4,rozmery: Ø 4 x 18 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
65,rozmery:,,,"['1', '26,3', '16', '6,5', '8,19']","8,19",1,"rozmery: 1x 26,3 x 16 x 6,5 cm 8,19                 termináli priamo v predajni.",14. 5. 2026 - 20. 5. 2026,Ostatné
65,alebo,,,"['2', '20,3', '11,5', '5', '4,99']","4,99",2,"alebo 2x 20,3 x 11,5 x 5 cm 4,99",14. 5. 2026 - 20. 5. 2026,Ostatné
65,priemer:,,,"['20', '24']",24,20,priemer: 20 cm Ø 24 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
65,Platné: Aktivovať -,,,['30'],30,,Platné:     Aktivovať -30,14. 5. 2026 - 20. 5. 2026,Ostatné
65,objem:,"1,55 l",-50%,"['1,55', '50', '3,49']","3,49","1,55","objem: 1,55 l          -50% 3,49",14. 5. 2026 - 20. 5. 2026,Ostatné
65,UŠETRÍTE,1 kus,,['1'],1,,UŠETRÍTE                                 1 kus,14. 5. 2026 - 20. 5. 2026,Ostatné
65,šírka:,,,"['20', '28']",28,20,šírka: 20 cm alebo 28 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
65,dĹžka:,,,"['3', '19,99', '23', '27,5']","27,5",3,"dĹžka: 3 m                 Rýchlovarná kanvica 19,99      priemer: 23 cm priemer: 27,5 cm",14. 5. 2026 - 20. 5. 2026,Ostatné
65,BC:,1 kus,,"['2,33', '3,50', '1']",1,"2,33","BC: 2,33 - 3,50) *         1 kus",14. 5. 2026 - 20. 5. 2026,Ostatné
65,PRI POUŽITÍ U,,,,"2,99",,"PRI POUŽITÍ KUPÓNU
2,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,dámske veľ.:,,,"['37', '41', '3,99']","3,99",37,"dámske veľ.: 37 - 41 3,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,pánske veľ.:,,,"['41', '45']",45,41,pánske veľ.: 41 - 45,14. 5. 2026 - 20. 5. 2026,Ostatné
66,materiál:,,,['100'],100,,materiál: 100 % bavlna,14. 5. 2026 - 20. 5. 2026,Ostatné
66,AA Mignon alebo AAA Micro,,,"['7,99']","7,99",,"AA Mignon alebo AAA Micro 7,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,alebo gramáž:,500 g,,['500'],500,,alebo          gramáž: 500 g / m²,14. 5. 2026 - 20. 5. 2026,Ostatné
66,Zastrihávač vlasov rozmery:,,,"['50', '100']",100,50,Zastrihávač vlasov rozmery: 50 x 100 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
66,nastaviteľná dĹžka strihu:,,,"['9,99']","9,99",,"nastaviteľná dĹžka strihu: 9,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,Osuška,,,"['6,99']","6,99",,"Osuška        6,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,rozmery:,,,"['70', '140']",140,70,rozmery: 70 x 140 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
66,na bielizeň,,,"['19,99']","19,99",,"na bielizeň 19,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,Blade QP,,,"['1424', '20']",20,1424,Blade QP1424/20,14. 5. 2026 - 20. 5. 2026,Ostatné
66,dĹžka šnúr:,,-31%,"['20', '31']",31,20,dĹžka šnúr: 20 m                                              -31%,14. 5. 2026 - 20. 5. 2026,Ostatné
66,doba nabíjania:,,,"['8', '29,99']","29,99",8,"doba nabíjania: 8 hod. 29,99 spodnou stranou",14. 5. 2026 - 20. 5. 2026,Ostatné
66,doba prevádzky:,,,"['30', '19,99']","19,99",30,"doba prevádzky: 30 min. 19,99 rozmery predložiek:",14. 5. 2026 - 20. 5. 2026,Ostatné
66,použitie len na tvári,,,"['50', '40', '15,99']","15,99",50,"použitie len na tvári   50 x 40 cm      15,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,na WC:,,,"['47', '51']",51,47,na WC: 47 x 51 cm,14. 5. 2026 - 20. 5. 2026,Ostatné
66,materiál: plast Sprchový záves,,,"['7,99']","7,99",,"materiál: plast           Sprchový záves 7,99",14. 5. 2026 - 20. 5. 2026,Ostatné
66,rozmery:,,-27%,"['37', '67', '39', '19,99', '100', '4,99', '17,99', '27']",27,37,"rozmery: 37 x 67 x 39 cm 19,99 materiál: 100 % polyester 4,99   17,99 -27%",14. 5. 2026 - 20. 5. 2026,Ostatné
66,alebo,,,"['27', '68', '36', '180', '200', '12,99']","12,99",27,"alebo 27 x 68 x 36 cm     rozmery: 180 x 200 cm                    12,99",14. 5. 2026 - 20. 5. 2026,Ostatné
67,svetelný tok:,1350 l,,['1350'],1350,,svetelný tok: 1350 lm,14. 5. 2026 - 20. 5. 2026,Ostatné
67,stupeň krytia: IP,,,"['44', '9,99', '2,99', '9,99']","9,99",44,"stupeň krytia: IP44 9,99               2,99                       9,99",14. 5. 2026 - 20. 5. 2026,Ostatné
67,rozmery: Ø,,,"['28', '6,7', '6,99', '1,99', '6,99']","6,99",28,"rozmery: Ø 28 x 6,7 cm 6,99 Domáce potreby 1,99      vákuových vakov 6,99",14. 5. 2026 - 20. 5. 2026,Ostatné
67,alebo Ø,,,"['28,8', '6,5']","6,5","28,8","alebo Ø 28,8 x 6,5 cm      rôzne druhy               rôzne druhy",14. 5. 2026 - 20. 5. 2026,Ostatné
67,✓možnosť otočenia zrkadla o,,,['360'],360,,✓možnosť otočenia zrkadla o 360°,14. 5. 2026 - 20. 5. 2026,Ostatné
67,do kúpeľne,550 l,,"['3,99', '2,99', '550', '7,99']","7,99","3,99","do kúpeľne  3,99          do kúpeľne  2,99      svetelný tok: 550 lm 7,99",14. 5. 2026 - 20. 5. 2026,Ostatné
67,rôzne druhy rôzne druhy rozmery:,,,"['30', '9,7', '4,1']","4,1",30,"rôzne druhy               rôzne druhy           rozmery: 30 x 9,7 x 4,1 cm",14. 5. 2026 - 20. 5. 2026,Ostatné
67,Regál do kúpeľne Regál do kúpeľne priemer:,,,"['9,9']","9,9",,"Regál do kúpeľne         Regál do kúpeľne             priemer: 9,9 cm",14. 5. 2026 - 20. 5. 2026,Ostatné
67,materiál: bambus,,,"['14,99', '19,99', '3']",3,"14,99","materiál: bambus 14,99   materiál: bambus 19,99       3 druhy prúdov",14. 5. 2026 - 20. 5. 2026,Ostatné
67,rozmery:,,,"['25', '16', '76', '9,99', '23', '23', '77', '14,99']","14,99",25,"rozmery: 25 x 16 x 76 cm 9,99 rozmery: 23 x 23 x 77 cm 14,99 vrátane hadice, BEŽNÁ CENA",14. 5. 2026 - 20. 5. 2026,Ostatné
67,alebo,,,"['30', '30', '70', '40', '35', '60,5', '175', '6,99']","6,99",30,"alebo 30 x 30 x 70 cm    alebo 40 x 35 x 60,5 cm      dĹžka: 175 cm 6,99",14. 5. 2026 - 20. 5. 2026,Ostatné
67,-,,,,"14,99",25,"-25%
19,99
14,99",14. 5. 2026 - 20. 5. 2026,Ostatné
69,Darčekovú poukážku je možné nabiť v ľubovoľnej hodnote do,,,['100'],100,,Darčekovú poukážku je možné nabiť v ľubovoľnej hodnote do 100 eur pri pokladni.,14. 5. 2026 - 20. 5. 2026,Ostatné
70,PLATÍ OD SOBOTY,,,"['16.', '5.']",5.,16.,PLATÍ OD SOBOTY 16. 5.   EXTRA     PONUKA,14. 5. 2026 - 20. 5. 2026,Ostatné
70,DO NEDELE,,,"['17.', '5.', '2026']",2026,17.,DO NEDELE 17. 5. 2026,14. 5. 2026 - 20. 5. 2026,Ostatné
70,OD NEDELE,,,"['17.', '5.', '20.', '5.']",5.,17.,OD   NEDELE   17. 5. DO STREDY   20. 5.,14. 5. 2026 - 20. 5. 2026,Ostatné
70,PLATÍ OD SOBOTY,,,,2026,16.,"PLATÍ OD SOBOTY 16. 5.
DO NEDELE 17. 5. 2026",14. 5. 2026 - 20. 5. 2026,Ostatné
70,-,125 g,,,11,33,"-33%
2,99
1,99
Maliny
125 g balenie
(=1 kg 15,92)
Čerstvé
zo Slovenska
-41%
BIO 5,49
3,19
Špargľa zelená
500 g balenie
(=1 kg 6,38)
70
S70-SK-KW20-LFT-OD_DO_1_1_L-1020-11",14. 5. 2026 - 20. 5. 2026,Ostatné
71,so zelenými olivami orechový alebo makový,505 g,,['505'],505,,so zelenými olivami    orechový alebo makový     505 g,14. 5. 2026 - 20. 5. 2026,Ostatné
71,,,,,"1,35","1,79","1,79 -24%
1,35",14. 5. 2026 - 20. 5. 2026,Ostatné
71,,,,,"1,79","2,29","2,29 -21%
1,79",14. 5. 2026 - 20. 5. 2026,Ostatné
72,Mozzarella,,,['45'],45,,Mozzarella 45 %,14. 5. 2026 - 20. 5. 2026,Ostatné
72,pevný podiel,,,"['0,79', '3,29', '5,19']","5,19","0,79","pevný podiel   0,79                      3,29                       5,19",14. 5. 2026 - 20. 5. 2026,Ostatné
72,rôzne druhy,2 kg,-25%,"['1,69', '2,29', '2', '7,99', '25']",25,"1,69","rôzne druhy 1,69       rôzne druhy  2,29        2 kg     7,99 -25%",14. 5. 2026 - 20. 5. 2026,Ostatné
72,,100 g,,,100,,100 g vyrobených zo,14. 5. 2026 - 20. 5. 2026,Ostatné
72,,,,,"5,99","7,99","7,99 -25%
5,99",14. 5. 2026 - 20. 5. 2026,Ostatné
72,-,,,,"2,29",23,"-23%
2,99
2,29",14. 5. 2026 - 20. 5. 2026,Ostatné
72,,,,,"0,99","1,19","1,19 -16%
0,99",14. 5. 2026 - 20. 5. 2026,Ostatné
73,Oblátky,,,"['0,25']","0,25",,"Oblátky   0,25",14. 5. 2026 - 20. 5. 2026,Ostatné
73,rôzne druhy,,,"['0,89']","0,89",,"rôzne druhy 0,89",14. 5. 2026 - 20. 5. 2026,Ostatné
73,Makrela filety,1 kg,,"['0,99', '1', '4,17', '0,38']","0,38","0,99","Makrela filety                           0,99        (=1 kg KC: 4,17 / 0,38",14. 5. 2026 - 20. 5. 2026,Ostatné
73,BC:,,,"['6,33']","6,33",,"BC: 6,33) *",14. 5. 2026 - 20. 5. 2026,Ostatné
73,+ záloh (=,1 kg,,"['1', '16,25']","16,25",1,"+ záloh                (=1 kg KC: 16,25 /",14. 5. 2026 - 20. 5. 2026,Ostatné
73,Uhorky za obal,,,"['0,15', '17,77']","17,77","0,15","Uhorky                    za obal 0,15           A: 17,77) *",14. 5. 2026 - 20. 5. 2026,Ostatné
73,TENTO PROPAGAČNÝ LETÁK OBSAHUJE,,,['27'],27,,TENTO     PROPAGAČNÝ         LETÁK   OBSAHUJE       27-PERCENTNÝ,14. 5. 2026 - 20. 5. 2026,Ostatné
73,V LETÁKU JE AŽ,,,['106'],106,,V LETÁKU JE AŽ 106 SLOVENSKÝCH VÝROBKOV.,14. 5. 2026 - 20. 5. 2026,Ostatné
73,BEŽNÁ CENA,,,,"0,38",,"BEŽNÁ CENA
0,38",14. 5. 2026 - 20. 5. 2026,Ostatné
73,,,,,"4,69","6,49","6,49 -27%
4,69",14. 5. 2026 - 20. 5. 2026,Ostatné
74,tyčinka,,,"['0,52']","0,52",,"tyčinka    0,52",14. 5. 2026 - 20. 5. 2026,Ostatné
74,Nanuková (=,1 kg,,"['1', '2,15']","2,15",1,"Nanuková                         (=1 kg 2,15)",14. 5. 2026 - 20. 5. 2026,Ostatné
74,Eidam,,,['45'],45,,Eidam 45 %,14. 5. 2026 - 20. 5. 2026,Ostatné
74,pečeňová paštéta,,,"['1,89']","1,89",,"pečeňová paštéta 1,89",14. 5. 2026 - 20. 5. 2026,Ostatné
74,Točená saláma,,,"['2,59', '0,69', '2,29']","2,29","2,59","Točená saláma 2,59         Pšeničná múka 0,69                      2,29",14. 5. 2026 - 20. 5. 2026,Ostatné
75,rôzne druhy,,,"['0,85']","0,85",,"rôzne druhy 0,85",14. 5. 2026 - 20. 5. 2026,Ostatné
75,rôzne druhy,,,"['1,39', '0,49', '1,79']","1,79","1,39","rôzne druhy 1,39                            0,49     Pohánka   1,79",14. 5. 2026 - 20. 5. 2026,Ostatné
75,,,,,"0,75","0,98","0,98 -23%
0,75",14. 5. 2026 - 20. 5. 2026,Ostatné
76,nneeddeellee,,,['1177.'],1177.,,nneeddeellee 1177..,14. 5. 2026 - 20. 5. 2026,Ostatné
76,ssttrreeddyy,,,['2200.'],2200.,,ssttrreeddyy 2200..,14. 5. 2026 - 20. 5. 2026,Ostatné
76,strapcové,,,"['3,99', '2,19', '20', '1']",1,"3,99","strapcové 3,99 2,19            NAD 20 EUR 1",14. 5. 2026 - 20. 5. 2026,Ostatné
76,PRI,600 g,,['600'],600,,PRI             600 g balenie,14. 5. 2026 - 20. 5. 2026,Ostatné
76,M (=,1 kg,,"['1', '3,65']","3,65",1,"M            (=1 kg 3,65)",14. 5. 2026 - 20. 5. 2026,Ostatné
76,NAD,,,"['20', '1', '40']",40,20,NAD  20 EUR 1                                          -40  %,14. 5. 2026 - 20. 5. 2026,Ostatné
76,podiel mäsa,,,"['0,65']","0,65",,"podiel mäsa             0,65",14. 5. 2026 - 20. 5. 2026,Ostatné
76,"bez kosti, v celku",,-19%,"['5,19', '19']",19,"5,19","bez kosti, v celku 5,19 -19%  Šunka",14. 5. 2026 - 20. 5. 2026,Ostatné
76,pultový predaj,,,"['4,19']","4,19",,"pultový predaj      4,19      z morčacích pŕs",14. 5. 2026 - 20. 5. 2026,Ostatné
76,Maslo,,,['82'],82,,Maslo 82 %,14. 5. 2026 - 20. 5. 2026,Ostatné
76,Cena za,2 kus,,"['2', '3,99']","3,99",2,"Cena za 2 kusy 3,99",14. 5. 2026 - 20. 5. 2026,Mliečne výrobky / Syry
76,"Kaufland Slovenská republika v. o. s., Trnavská cesta",,,"['41', '831', '04', '3,', '35', '790', '164.']",164.,41,"Kaufland Slovenská republika v. o. s., Trnavská cesta 41/A, 831 04 Bratislava 3, IČO: 35 790 164.",14. 5. 2026 - 20. 5. 2026,Ostatné
76,Informácie aj na tel. č.,,,"['0800', '15', '28', '35', '8', '00', '18', '00,', '8', '00', '17', '00']",00,0800,"Informácie aj na tel. č. 0800 15 28 35 (po – pia 8:00 – 18:00, so 8:00 – 17:00).",14. 5. 2026 - 20. 5. 2026,Ostatné
76,,,,,"4,19","5,19","5,19 -19%
4,19",14. 5. 2026 - 20. 5. 2026,Ostatné
76,,,,,94,,"94 %
podiel mäsa",14. 5. 2026 - 20. 5. 2026,Ostatné
76,-,,,,"0,65",53,"-53%
1,39
0,65",14. 5. 2026 - 20. 5. 2026,Ostatné
